ModelName,ModelID,RuleScenario,SMTCode,Output
Qwen3.5-35B-A3B,Qwen/Qwen3.5-35B-A3B,"Rule Text: To be eligible for the standard residential lease, the applicant must be at least 18 years of age and possess a credit score of 650 or higher. If the applicant is under 18 years of age, they are strictly prohibited from leasing, regardless of credit score. If the applicant is 18 or older but has a credit score below 650, they may only be approved if they provide a qualified guarantor.


Scenario: - Applicant: Age 17, Credit Score 655, Guarantor 750","; Variables
(declare-const applicantAge Int)
(declare-const creditScore Int)
(declare-const hasGuarantor Bool)

; Rules
; Condition 1: Must be at least 18 AND have credit score >= 650
; Condition 2: Under 18 is strictly prohibited (implies unsat if age < 18)
; Condition 3: 18+ with credit < 650 requires guarantor
; Combined Logic:
; (Age >= 18 AND Credit >= 650) OR
; (Age >= 18 AND Credit < 650 AND HasGuarantor)
; Note: The ""Under 18"" prohibition is implicitly handled because no disjunct allows Age < 18.
(assert (or
  (and (>= applicantAge 18) (>= creditScore 650))
  (and (>= applicantAge 18) (< creditScore 650) hasGuarantor)
))

; Scenario
(assert (= applicantAge 17))
(assert (= creditScore 655))
(assert (= hasGuarantor true))

(check-sat)",unsat
Microsoft-Phi-4,microsoft/phi-4,"Rule Text: To be eligible for the standard residential lease, the applicant must be at least 18 years of age and possess a credit score of 650 or higher. If the applicant is under 18 years of age, they are strictly prohibited from leasing, regardless of credit score. If the applicant is 18 or older but has a credit score below 650, they may only be approved if they provide a qualified guarantor.


Scenario: - Applicant: Age 17, Credit Score 655, Guarantor 750","; Variables  
(declare-const applicantAge Int)  
(declare-const applicantCreditScore Int)  
(declare-const guarantorCreditScore Int)  

; Rules  
(assert (or (and (>= applicantAge 18) (>= applicantCreditScore 650))  
            (and (>= applicantAge 18) (< applicantCreditScore 650) (>= guarantorCreditScore 650))))  
(assert (=> (< applicantAge 18) false))  

; Scenario  
(assert (= applicantAge 17))  
(assert (= applicantCreditScore 655))  
(assert (= guarantorCreditScore 750))  

(check-sat)",unsat
Qwen3-Coder-30B-A3B,Qwen/Qwen3-Coder-30B-A3B-Instruct,"Rule Text: To be eligible for the standard residential lease, the applicant must be at least 18 years of age and possess a credit score of 650 or higher. If the applicant is under 18 years of age, they are strictly prohibited from leasing, regardless of credit score. If the applicant is 18 or older but has a credit score below 650, they may only be approved if they provide a qualified guarantor.


Scenario: - Applicant: Age 17, Credit Score 655, Guarantor 750","; Variables
(declare-const applicantAge Int)
(declare-const applicantCreditScore Int)
(declare-const hasGuarantor Bool)
(declare-const guarantorScore Int)

; Rules
(assert (=> (< applicantAge 18) (not (and (>= applicantAge 18) (>= applicantCreditScore 650)))))
(assert (or (and (>= applicantAge 18) (>= applicantCreditScore 650)) (and (>= applicantAge 18) (< applicantCreditScore 650) hasGuarantor)))
(assert (>= guarantorScore 650))

; Scenario
(assert (= applicantAge 17))
(assert (= applicantCreditScore 655))
(assert (= hasGuarantor true))
(assert (= guarantorScore 750))

(check-sat)",unsat
Qwen3.5-35B-A3B,Qwen/Qwen3.5-35B-A3B,"Rule Text: To be eligible for the standard residential lease, the applicant must be at least 18 years of age and possess a credit score of 650 or higher. If the applicant is under 18 years of age, they are strictly prohibited from leasing, regardless of credit score. If the applicant is 18 or older but has a credit score below 650, they may only be approved if they provide a qualified guarantor.


Scenario: - Applicant: Age 18, Credit Score 645, No Guarantor","; Variables
(declare-const applicantAge Int)
(declare-const creditScore Int)
(declare-const hasGuarantor Bool)

; Rules
; Condition 1: Must be at least 18 AND have credit score >= 650
; Condition 2: Under 18 is strictly prohibited (implies age < 18 => unsat)
; Condition 3: Age >= 18 AND credit < 650 requires a guarantor
; Combined Logic: The applicant is eligible if (age >= 18 AND credit >= 650) OR (age >= 18 AND credit < 650 AND hasGuarantor)
; Note: The ""strictly prohibited"" clause for under 18 is implicitly handled because the disjunction requires age >= 18.
(assert (or (and (>= applicantAge 18) (>= creditScore 650)) (and (>= applicantAge 18) (< creditScore 650) hasGuarantor)))

; Scenario
(assert (= applicantAge 18))
(assert (= creditScore 645))
(assert (= hasGuarantor false))

(check-sat)",unsat
Microsoft-Phi-4,microsoft/phi-4,"Rule Text: To be eligible for the standard residential lease, the applicant must be at least 18 years of age and possess a credit score of 650 or higher. If the applicant is under 18 years of age, they are strictly prohibited from leasing, regardless of credit score. If the applicant is 18 or older but has a credit score below 650, they may only be approved if they provide a qualified guarantor.


Scenario: - Applicant: Age 18, Credit Score 645, No Guarantor","; Variables  
(declare-const applicantAge Int)  
(declare-const applicantCreditScore Int)  
(declare-const hasQualifiedGuarantor Bool)  

; Rules  
(assert (or (and (>= applicantAge 18) (>= applicantCreditScore 650))  
            (and (>= applicantAge 18) (< applicantCreditScore 650) hasQualifiedGuarantor)))  
(assert (=> (< applicantAge 18) false))  

; Scenario  
(assert (= applicantAge 18))  
(assert (= applicantCreditScore 645))  
(assert (= hasQualifiedGuarantor false))  

(check-sat)",unsat
Qwen3-Coder-30B-A3B,Qwen/Qwen3-Coder-30B-A3B-Instruct,"Rule Text: To be eligible for the standard residential lease, the applicant must be at least 18 years of age and possess a credit score of 650 or higher. If the applicant is under 18 years of age, they are strictly prohibited from leasing, regardless of credit score. If the applicant is 18 or older but has a credit score below 650, they may only be approved if they provide a qualified guarantor.


Scenario: - Applicant: Age 18, Credit Score 645, No Guarantor","; Variables
(declare-const age Int)
(declare-const creditScore Int)
(declare-const hasGuarantor Bool)

; Rules
(assert (=> (< age 18) (not (and (>= age 18) (>= creditScore 650)))))
(assert (or (and (>= age 18) (>= creditScore 650)) (and (>= age 18) (< creditScore 650) hasGuarantor)))

; Scenario
(assert (= age 18))
(assert (= creditScore 645))
(assert (= hasGuarantor false))

(check-sat)",unsat
Microsoft-Phi-4,microsoft/phi-4,"Rule Text: To be eligible for the standard residential lease, the applicant must be at least 18 years of age and possess a credit score of 650 or higher. If the applicant is under 18 years of age, they are strictly prohibited from leasing, regardless of credit score. If the applicant is 18 or older but has a credit score below 650, they may only be approved if they provide a qualified guarantor.


Scenario: - Applicant: Age 25, No Guarantor, Credit Score 640","; Variables  
(declare-const applicantAge Int)  
(declare-const applicantCreditScore Int)  
(declare-const hasQualifiedGuarantor Bool)  

; Rules  
(assert (or (and (>= applicantAge 18) (>= applicantCreditScore 650))  
            (and (>= applicantAge 18) (< applicantCreditScore 650) hasQualifiedGuarantor)))  
(assert (=> (< applicantAge 18) false))  

; Scenario  
(assert (= applicantAge 25))  
(assert (= applicantCreditScore 640))  
(assert (= hasQualifiedGuarantor false))  

(check-sat)",unsat
Qwen3.5-35B-A3B,Qwen/Qwen3.5-35B-A3B,"Rule Text: To be eligible for the standard residential lease, the applicant must be at least 18 years of age and possess a credit score of 650 or higher. If the applicant is under 18 years of age, they are strictly prohibited from leasing, regardless of credit score. If the applicant is 18 or older but has a credit score below 650, they may only be approved if they provide a qualified guarantor.


Scenario: - Applicant: Age 25, No Guarantor, Credit Score 640","; Variables
(declare-const applicantAge Int)
(declare-const creditScore Int)
(declare-const hasGuarantor Bool)

; Rules
; Condition 1: Must be at least 18 AND have credit score >= 650
; OR
; Condition 2: Exception for those under 18 (strictly prohibited) -> This implies no one under 18 can pass.
; The rule states: ""If under 18... strictly prohibited"". This means (age < 18) => False.
; Therefore, we must enforce (age >= 18).
; Then, for those 18+, if credit < 650, need guarantor.
; Combined Logic:
; (age >= 18) AND ((creditScore >= 650) OR (hasGuarantor = true))

(assert (and (>= applicantAge 18) (or (>= creditScore 650) hasGuarantor)))

; Scenario
(assert (= applicantAge 25))
(assert (= creditScore 640))
(assert (= hasGuarantor false))

(check-sat)",unsat
Qwen3-Coder-30B-A3B,Qwen/Qwen3-Coder-30B-A3B-Instruct,"Rule Text: To be eligible for the standard residential lease, the applicant must be at least 18 years of age and possess a credit score of 650 or higher. If the applicant is under 18 years of age, they are strictly prohibited from leasing, regardless of credit score. If the applicant is 18 or older but has a credit score below 650, they may only be approved if they provide a qualified guarantor.


Scenario: - Applicant: Age 25, No Guarantor, Credit Score 640","; Variables
(declare-const applicantAge Int)
(declare-const hasGuarantor Bool)
(declare-const creditScore Int)

; Rules
(assert (=> (< applicantAge 18) (not (>= creditScore 650))))
(assert (or (and (>= applicantAge 18) (>= creditScore 650)) (and (>= applicantAge 18) (< creditScore 650) hasGuarantor)))

; Scenario
(assert (= applicantAge 25))
(assert (= hasGuarantor false))
(assert (= creditScore 640))

(check-sat)",unsat
Qwen3-Coder-30B-A3B,Qwen/Qwen3-Coder-30B-A3B-Instruct,"Rule Text: To be eligible for the standard residential lease, the applicant must be at least 18 years of age and possess a credit score of 650 or higher. If the applicant is under 18 years of age, they are strictly prohibited from leasing, regardless of credit score. If the applicant is 18 or older but has a credit score below 650, they may only be approved if they provide a qualified guarantor.


Scenario: 18, 600, Guarantor Present","; Variables
(declare-const age Int)
(declare-const creditScore Int)
(declare-const hasGuarantor Bool)

; Rules
(assert (=> (< age 18) (not (and (>= age 18) (>= creditScore 650)))))
(assert (or (and (>= age 18) (>= creditScore 650)) (and (>= age 18) (< creditScore 650) hasGuarantor)))

; Scenario
(assert (= age 18))
(assert (= creditScore 600))
(assert (= hasGuarantor true))

(check-sat)",sat
